 	Frame #	x	y	FWHM	?F/F0	r^2	Duration (frames)	Duration (t½) (ms)	Spark Mass	Other statistics	 	Options	  
6	3	51.66	63.839	1.911	0.35	0.709	1	NaN	2.946	Mean FWHM (microns)	4860.184±1721.652	"Threshold, ?"	3.8
11	5	204.575	111.927	1.202	0.127	0.552	2	-28.989	0.266	 	 	Adv. cell definition	TRUE
13	7	214.491	55.095	1.616	0.516	0.761	3	1.955	2.627	 	 	 	 
15	7	179.272	137.982	1.259	0.079	0.512	1	NaN	0.191	 	 	 	 
16	8	12.377	100.845	1.658	0.308	0.833	3	-1.818	1.69	 	 	 	 
24	12	108.681	30.679	3.189	0.139	0.703	1	NaN	5.444	 	 	 	 
25	12	59.241	33.907	3.595	0.227	0.9	2	34.771	12.734	 	 	 	 
26	12	23.511	64.398	3.77	0.86	0.822	3	276.476	55.577	 	 	 	 
33	13	206.79	102.799	1.248	0.305	0.837	1	NaN	0.715	 	 	 	 
39	14	13.772	82.046	4.82	0.404	0.838	1	NaN	54.59	 	 	 	 
43	15	26.014	77.847	2.636	0.999	0.943	3	NaN	22.086	 	 	 	 
57	19	60.221	75.942	2.942	0.251	0.716	1	NaN	7.712	 	 	 	 
60	20	216.177	51.51	1.258	1.44	0.912	1	NaN	3.461	 	 	 	 
70	22	206.09	113.184	1.727	0.226	0.599	3	NaN	1.407	 	 	 	 
90	28	209.229	101.652	4.427	0.562	0.752	1	NaN	58.87	 	 	 	 
95	29	217.942	53.049	1.072	1.083	0.949	2	52.14	1.608	 	 	 	 
97	30	91.786	99.365	3.606	0.095	0.73	2	10.055	5.368	 	 	 	 
104	31	58.858	150.451	4.197	0.369	0.82	1	NaN	32.922	 	 	 	 
105	31	150.968	141.094	2.524	0.083	0.768	1	NaN	1.608	 	 	 	 
113	33	69.547	76.852	2.904	0.089	0.609	2	27.746	2.621	 	 	 	 
115	33	94.026	132.667	1.377	0.13	0.852	1	Infinity	0.408	 	 	 	 
123	35	69.509	70.868	3.388	0.103	0.731	1	Infinity	4.836	 	 	 	 
131	37	73.382	47.768	4.312	0.052	0.564	1	NaN	5.044	 	 	 	 
138	37	65.582	153.452	1.129	0.196	0.839	2	219.332	0.34	 	 	 	 
139	38	212.883	59.418	3.356	0.25	0.846	4	313.397	11.407	 	 	 	 
150	42	85.718	90.452	5.225	0.045	0.579	2	70.391	7.754	 	 	 	 
151	42	20.298	79.153	1.601	0.188	0.668	1	NaN	0.93	 	 	 	 
154	43	210.057	65.284	1.723	4.946	0.726	1	NaN	30.513	 	 	 	 
157	44	54.178	61.353	1.47	0.29	0.767	1	NaN	1.109	 	 	 	 
158	44	214.462	46.231	1.028	5.492	0.856	2	-90.087	7.203	 	 	 	 
163	46	182.503	59.371	4.636	4.426	0.531	1	NaN	531.919	 	 	 	 
179	52	24.496	53.472	1.275	3.49	0.573	2	41.162	8.721	 	 	 	 
197	58	211.526	61.417	1.872	2.499	0.612	1	NaN	19.787	 	 	 	 
201	61	135.101	59.264	4.058	0.044	0.573	1	NaN	3.582	 	 	 	 
202	61	216.188	54.281	1.685	0.682	0.93	2	38.747	3.938	 	 	 	 
204	61	61.921	103.97	1.255	0.052	0.57	1	Infinity	0.123	 	 	 	 
210	62	17.885	107.174	2.439	1.34E+154	0.957	1	NaN	2.35E+155	 	 	 	 
